Plant Scientific Name stringFilter,Plant Common Name stringFilter,Image imageType,Contaminants Csvfilteror,Accumlation Quantity (if known) csvFilterOr,Accumlation Type (if known) csvFilterOr,Source for Phyto ,Notes ,Search All stringFilter - Hidden
Abutilon theophrasti,Velvet Leaf,,Cadmium,Accumulator,,"1) Hammami, Hossein, et al. â€œWeeds Ability to Phytoremediate Cadmium-Contaminated Soil.â€ International Journal of Phytoremediation, vol. 18, no. 1, 2015, pp. 48â€“53., doi:10.1080/15226514.2015.1058336.",,
Acacia farnesiana,Sweet Acacia,,Arsenic,Accumulator,Phytostabilization,"1) Alcantara-Martinez N, Guizar S, Rivera-Cabrera F, Anicacio-Acevedo BE, Buendia-Gonzalez L, Volke-Sepulveda T. Tolerance, arsenic uptake, and oxidative stress in Acacia farnesiana under arsenate-stress. Int J Phytoremediation. 2016;18(7):671-678. doi:10.1080/15226514.2015.1118432",,
Acacia mangium,Forest Mangrove,,Lead,Accumulator,Phytostabilization,"1)(Phyto Textbook) Meeinkuirt, W., Pokethitiyook, P., Kruatrachue, M., Tanhan, P., and Chairyarat, R. 2012. Phytostabilization of a Pb-contaminated mine tailing by various tree species in pot and field trial experiments. International Journal of Phytoremediation 14 (9), pp. 925-938.",,
Acacia pycnantha,Golden Wattle,,"Copper, Zinc, Lead",Accumulator,Phytostabilization,"1) Nirola R, Megharaj M, Aryal R, Naidu R. Screening of metal uptake by plant colonizers growing on abandoned copper mine in Kapunda, South Australia. Int J Phytoremediation. 2016;18(4):399-405. doi:10.1080/15226514.2015.1109599",,
Acanthus ilicifolius L.,Holly-Leaved Acanthus,,Cadmium,Accumulator,Phytostabilization,"1) Shackira AM, Puthur JT. Enhanced phytostabilization of cadmium by a halophyte-Acanthus ilicifolius L. Int J Phytoremediation. 2017;19(4):319-326. doi:10.1080/15226514.2016.1225284",,
Acer rubrum,Red Maple,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/81fc6675-8b2e-4c37-90a6-1d4f1900548f/RedMaple.jpg?content-type=image%2Fjpeg,"Cesium, Plutonium",Accumulator,N/A,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2) http://www.flickr.com/photos/35518067@N06/3350103424/(Photo Source)",Hardiness Zones: Zones 3 - 9,
Acer saccharinum,Silver Maple,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/5cb2a984-9de4-4c6d-8345-d9d877aca9cb/SilverMaple.jpg?content-type=image%2Fjpeg,"Polychlorinated Biphenyl (Pcb), Trichloroethylene (Tce) Â And By-Products, Vinyl Chloride",N/A,N/A,"1) Ferro, A., Chard, B., Gefell, M., Thompson, B., and R. Kjelgren. 2000. ""Phytoremediation of Organic Solvents in Groundwater: Pilot Study at a Superfund Site""Â. In: G. Wickramanayake, A. Gavaskar, B. Alleman, and V. Magar (eds.) Bioremediation and Phytoremediation of Chlorinated and Recalcitrant Compounds, p461-466. Battelle Press, Columbus, Ohio.; Ferro, A., Kennedy, J., Kjelgren, R., Rieder, J., and S. Perrin. 1999. ""Toxicity Assessment of Volatile Organic Compounds in Poplar Trees""Â. International Journal of Phytoremediation. 1(1): 9-17 2) http://www.flickr.com/photos/piwo/2504039909/ (Photo Source)","Salt Tolerant: Moderately high. Roots: Shallow, very, wide spreading, fibrous. Qualities: Fastest growing native maple. Prefers wet/saturated conditions. Full to part sun.Used for the fall color. Hardiness Zones: 3 - 9",
Achillea millefolium,Yarrow,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/6358b893-99c0-403a-96f8-7ebc3f6d7b70/Yarrow.jpg?content-type=image%2Fjpeg,Cadmium,Accumulator,N/A,"1) Institute for Environmental Research and education (IERE). (2003 January). Vashon Heavy Metal Phytoremediation Study Sampling and Analysis Strategy (DRAFT). http://www.superorg.net/archive/proposal/plant_species_phyto.pdf
 2)http://www.flickr.com/photos/arthur_chapman/4847486547/(Photo Source)",Perennial aromatic herb native to the NW. Hardiness: Zones 3-10,
Acorus calamus,Sweet Flag,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/5234252b-185a-4a55-9a6f-a3dd2edbf8da/SweetFlag.jpg?content-type=image%2Fjpeg,Atrazine,Accumulator of Iron and Manganese. Tolerant,"Rhizofiltration, Phytodegradation","1) University of Minnesota Sustainable Urban Landscape Information Series. http://www.sustland.umn.edu/design/water4.html
 2) http://www.flickr.com/photos/samorini/3833808196/ (Photo Source)
 3) (Phyto Textbook) Marecik, R., Bialas, W., Cyplik, P., Lawniczak, L., and Chrzanowski, L. 2012. Phytoremediation Potential of Three Wetland Plant Species Toward Atrazine in Environmentally Relevant Concentrations. Polish Journal of Environmental Studies. 21 (3), pp. 697-702. 
 4) (Phyto Textbook) WAng, Q., Zhang, W., Li, L., and Xiao, B. 2012. Phytoremediation of atrazine by three emergent hydrophytes in a hydroponic system. Water Science and Technology66 (6), pp. 1282-1288.","Accumulator of Iron and Manganese. Iron (Fe), Manganese (Mn), and sulfides introduces oxygen into the water to oxidize materials to purify the water perennial wetland. Cold hardiness zones: 5 - 11",
Aeluropus lagopoides,Mangrove Grass,,"Cadmium, Copper, Lead, Arsenic",Accumulator,Phytostabilization,1) Abbas ZK. Rhizospheric soil enzyme activities and phytominimg potential of Aeluropus lagopoides and Cyperus conglomeratus growing in contaminated soils at the banks of artificial lake of reclaimed wastewater. Int J Phytoremediation. 2017;19(11):1017-1022. doi:10.1080/15226514.2017.1319326,,
